Name,Description,Unlock,In Game Secret Number,link
Ultra Hard,Unlocked a new challenge.,"Defeat ??? or The Lamb. Possession of The Polaroid / The Negative is required, barring getting to Dark Room through a Sacrifice Room.
 Defeat Mega Satan",280,/wiki/Ultra_Hard
PONG,Unlocked a new challenge.,Defeat Isaac 5 times,281,/wiki/Pong
D Infinity,Unlocked a new item.,Defeat Delirium as Isaac,282,/wiki/D_Infinity
Eucharist,Unlocked a new item.,Defeat Delirium as Magdalene,283,/wiki/Eucharist
Silver Dollar,Unlocked a new item.,Defeat Delirium as Cain,284,/wiki/Silver_Dollar
Shade,Unlocked a new item.,Defeat Delirium as Judas,285,/wiki/Shade
King Baby,Unlocked a new co-player baby.,Defeat Delirium as ???,286,/wiki/King_Baby
Bloody Crown,Unlocked a new item.,Defeat Delirium as Samson,287,/wiki/Bloody_Crown
Dull Razor,Unlocked a new item.,Defeat Delirium as Eve,288,/wiki/Dull_Razor
Eden's Soul,Unlocked a new item.,Defeat Delirium as Eden,289,/wiki/Eden%27s_Soul
Dark Prince's Crown,Unlocked a new item.,Defeat Delirium as Azazel,290,/wiki/Dark_Prince%27s_Crown
Compound Fracture,Unlocked a new item.,Defeat Delirium as Lazarus,291,/wiki/Compound_Fracture
Euthanasia,Unlocked a new item.,Defeat Delirium as Lilith,292,/wiki/Euthanasia
Holy Card,Unlocked a new item.,Defeat Delirium as The Lost,293,/wiki/Holy_Card
Crooked Penny,Unlocked a new item.,Defeat Delirium as Keeper,294,/wiki/Crooked_Penny
Void,Unlocked a new item.,Defeat Delirium as Apollyon,295,/wiki/Void
D1,Unlocked a new item.,Defeat Ultra Greedier as Isaac,296,/wiki/D1
Glyph of Balance,Unlocked a new item.,Defeat Ultra Greedier as Magdalene,297,/wiki/Glyph_of_Balance
Sack of Sacks,Unlocked a new item.,Defeat Ultra Greedier as Cain,298,/wiki/Sack_of_Sacks
Eye of Belial,Unlocked a new item.,Defeat Ultra Greedier as Judas,299,/wiki/Eye_of_Belial
Meconium,Unlocked a new item.,Defeat Ultra Greedier as ???,300,/wiki/Meconium
Stem Cell,Unlocked a new item.,Defeat Ultra Greedier as Samson,301,/wiki/Stem_Cell
Crow Heart,Unlocked a new item.,Defeat Ultra Greedier as Eve,302,/wiki/Crow_Heart
Metronome,Unlocked a new item.,Defeat Ultra Greedier as Eden,303,/wiki/Metronome
Bat Wing,Unlocked a new item.,Defeat Ultra Greedier as Azazel,304,/wiki/Bat_Wing
Plan C,Unlocked a new item.,Defeat Ultra Greedier as Lazarus,305,/wiki/Plan_C
Duality,Unlocked a new item.,Defeat Ultra Greedier as Lilith,306,/wiki/Duality
Dad's Lost Coin,Unlocked a new item.,Defeat Ultra Greedier as The Lost,307,/wiki/Dad%27s_Lost_Coin
Eye of Greed,Unlocked a new item.,Defeat Ultra Greedier as Keeper,308,/wiki/Eye_of_Greed
Black Rune,Unlocked a new item.,Defeat Ultra Greedier as Apollyon,309,/wiki/Black_Rune
Locust of Wrath,Unlocked a new item.,Defeat Isaac as Apollyon,310,/wiki/Locust_of_War
Locust of Pestilence,Unlocked a new item.,Defeat Satan as Apollyon,311,/wiki/Locust_of_Pestilence
Locust of Famine,Unlocked a new item.,Defeat ??? as Apollyon,312,/wiki/Locust_of_Famine
Locust of Death,Unlocked a new item.,Defeat The Lamb as Apollyon,313,/wiki/Locust_of_Death
Locust of Conquest,Unlocked a new item.,Complete the Boss Rush as Apollyon,314,/wiki/Locust_of_Conquest
Hushy,Unlocked a new item.,Defeat Hush as Apollyon,315,/wiki/Hushy
Brown Nugget,Unlocked a new item.,Defeat Ultra Greed as Apollyon,316,/wiki/Brown_Nugget
Mort Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Apollyon,317,/wiki/Babies
Smelter,Unlocked a new item.,Defeat Mom's Heart or It Lives! on Hard mode as Apollyon,318,/wiki/Smelter
Apollyon Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Apollyon,319,/wiki/Babies
New Area,Unlocked a new area.,Defeat Hush,320,/wiki/The_Void
Once More with Feeling!,Unlocked a new item.,"Complete a Victory Lap, defeating The Lamb",321,/wiki/Gulp!
Hat trick!,Unlocked a new item.,Get a 3-win streak,322,/wiki/Ace_of_Clubs
5 Nights at Mom's,Unlocked super special rocks.,"Get a 5-win streak ( 3-win streak), using a different character each time",323,/wiki/Super_special_rock
Sin collector,Unlocked a new item.,Collect every entry in the Bestiary (bugged v190 - Mobs that don't exist in the bestiary are being counted. This allows Sin Collector to be unlocked without a complete bestiary),324,/wiki/Feels_Like_I%27m_Walking_on_Sunshine!
Dedication,Unlocked a new item.,Participate in 31 Daily Challenges (they don't have to be consecutive; it will still count if Isaac dies in the first room),325,/wiki/Horf!
ZIP!,Unlocked a new item.,Defeat The Lamb in under 20 minutes,326,/wiki/Ace_of_Diamonds
It's the Key,Unlocked a new item.,"Defeat The Lamb without taking Hearts, Coins, or Bombs through the entire run",327,/wiki/Ace_of_Spades_(Card)
Mr. Resetter!,Unlocked a new item.,"Reset 7 times in a row
 Switch PS4 Get a minus 10-win streak",328,/wiki/Half_soul_heart
Living on the edge,Unlocked a new item.,"Complete a Chapter (floors I and II) after Basement, start-to-finish, with only half a Heart total (can use The Lost)",329,/wiki/Ace_of_Hearts
U Broke It!,Unlocked a new item.,"Obtain 50 items in a run (duplicate passive items/familiars count towards the total, e.g., multiple Breakfast)",330,/wiki/Vurp!
Laz Bleeds More!,Unlocked a new starting item.,Complete Backasswards (challenge #31),331,/wiki/Lazarus
Maggy Now Holds a Pill!,Unlocked a new starting item.,Complete Aprils Fool (challenge #32),332,/wiki/Magdalene
Charged Key,Unlocked a new item.,Complete Pokey Mans (challenge #33),333,/wiki/Charged_Key
Samson Feels Healthy!,Unlocked a new starting item.,Complete Ultra Hard (challenge #34),334,/wiki/Samson
Greed's Gullet,Unlocked a new item.,Complete Pong (challenge #35),335,/wiki/Greed%27s_Gullet
The Marathon,Unlocked a new item.,Get a 5-win streak in the Daily Challenges ( Isaac must have a score above 0 on the score screen),336,/wiki/Cracked_Crown
RERUN,Unlocked the power of RERUN.,Complete 3 Victory Laps and start a 4th,337,/wiki/RERUN
Delirious,Unlocked a new item.,Defeat Delirium,338,/wiki/Delirious
1000000%,Just Stop!,"Collect every item in the game, unlock all secrets and endings, and complete the Bestiary",339,/wiki/Apollyon
Apollyon,Unlocked a new character.,Defeat Mega Satan,340,
Greedier!,New mode unlocked!,Donate 500 Coins to the Greed Donation Machine,341,/wiki/Greedier_Mode
Burning Basement,Alt stage to the basement.,Defeat Mom's Heart 11 times,342,/wiki/Burning_Basement
Flooded Caves,Alt stage to the caves.,Defeat It Lives! 16 times,343,/wiki/Flooded_Caves
Dank Depths,Alt stage to the depths.,Defeat It Lives! 21 times,344,/wiki/Dank_Depths
Scarred Womb,Alt stage to the womb.,Defeat It Lives! 30 times,345,/wiki/Scarred_Womb
Something wicked this way comes!,Unlocked new bosses!,Defeat ??? as 3 different Characters,346,/wiki/The_Binding_of_Isaac:_Afterbirth#Bosses
Something wicked this way comes+!,Unlocked even more bosses!,Defeat ??? as 6 different Characters,347,/wiki/The_Binding_of_Isaac:_Afterbirth_%E2%80%A0#Bosses
The gate is open!,Unlocked new enemies!,Defeat The Lamb,348,/wiki/Monsters#Afterbirth_�
Black Hole,Unlocked a new item.,Defeat 20 Portals,349,/wiki/Black_Hole
Mystery Gift,Unlocked a new item.,Destroy 500 rocks,350,/wiki/Mystery_Gift
Sprinkler,Unlocked a new item.,Beat Chapter 1 without taking damage,351,/wiki/Sprinkler
Angry Fly,Unlocked a new item.,Become Beelzebub,352,/wiki/Angry_Fly
Bozo,Unlocked a new item.,Destroy 5 rainbow poops,353,/wiki/Bozo
Broken Modem,Unlocked a new item.,Complete 7 Daily Challenges (by touching the trophy at the end),"354
 PS4 345",/wiki/Broken_Modem
Buddy in a Box,Unlocked a new item.,Pick up 5 familiars in a single run,355,/wiki/Buddy_in_a_Box
Fast Bombs,Unlocked a new item.,Defeat Little Horn 20 times,356,/wiki/Fast_Bombs
Lil Delirium,Unlocked a new item.,Defeat Delirium for the 1st time,357,/wiki/Lil_Delirium
Hairpin,Unlocked a new item.,Recharge using Lil' Batteries 20 times,358,/wiki/Hairpin
Wooden Cross,Unlocked a new item.,Sleep in a bed,359,/wiki/Wooden_Cross
Butter!,Unlocked a new item.,Complete 2 Victory Laps and start a 3rd,360,/wiki/Butter!
Huge Growth,Unlocked a new item.,"Increase in size 5 times in a single run via Magic Mushroom, ""One makes you larger"" pills, XI - Strength, etc.",361,/wiki/Huge_Growth
Ancient Recall,Unlocked a new item.,Use Cards and Runes 20 times,362,/wiki/Ancient_Recall
Era Walk,Unlocked a new item.,Add both the Broken Watch and the Stop Watch to your collection,363,/wiki/Era_Walk
Coupon,Unlocked a new item.,"Purchase anything from Shops, Devil Rooms, and/or Black Markets 50 times",364,/wiki/Coupon
Telekinesis,Unlocked a new item.,Beat Chapter 2 without taking damage,365,/wiki/Telekinesis
Moving Box,Unlocked a new item.,Use Pandora's Box in Dark Room,366,/wiki/Moving_Box
Jumper Cables,Unlocked a new item.,"Pick up any 2 of the following items/trinkets in a single run: 9 Volt, The Battery, Car Battery, AAA Battery, and Watch Battery ( Any 2 items that have the 'battery' item tag)",367,/wiki/Jumper_Cables
Leprosy,Unlocked a new item.,Beat Chapter 3 without taking damage,368,/wiki/Leprosy
Technology Zero,Unlocked a new item.,Pick up any 2 technology items in a single run ( Any 2 items that have the 'tech' item tag),369,/wiki/Technology_Zero
Filigree Feather,Unlocked a new item.,Acquire both Key Piece 1 and Key Piece 2,370,/wiki/Filigree_Feather
Mr. ME!,Unlocked a new item.,Open 20 Locked Chests,371,/wiki/Mr._ME!
7 Seals,Unlocked a new item.,Defeat all 5 Harbingers,372,/wiki/7_Seals
Angelic Prism,Unlocked a new item.,Defeat an Angel 10 times,373,/wiki/Angelic_Prism
Pop!,Unlocked a new item.,Beat Chapter 4 without taking damage,374,/wiki/Pop!
Door Stop,Unlocked a new item.,Blow up doors and Secret Room walls 50 times,375,/wiki/Door_Stop
Death's List,Unlocked a new item.,Take 25 Deals with the Devil,376,/wiki/Death%27s_List
Haemolacria,Unlocked a new item.,Acquire Blood Clot 10 times,377,/wiki/Haemolacria
Lachryphagy,Unlocked a new item.,"Collect 10 ""Tears Up"" items or pills in one run",378,/wiki/Lachryphagy
Schoolbag,Unlocked a new item.,Enter every Shop from Chapter 1 through Chapter 3 in one run,379,/wiki/Schoolbag
Trisagion,Unlocked a new item.,Take 25 Angel Rooms items,380,/wiki/Trisagion
Extension Cord,Unlocked a new item.,"Have The Battery, 9 Volt, and Car Battery in Isaac's collection",381,/wiki/Extension_Cord
Flat Stone,Unlocked a new item.,Acquire Rubber Cement 5 times,382,/wiki/Flat_Stone
Sacrificial Altar,Unlocked a new item.,Take 50 Deals with the Devil,383,/wiki/Sacrificial_Altar
Lil Spewer,Unlocked a new item.,"Have Isaac die to his own explosion from Ipecac, Bob's Rotten Head, or a Horf! pill",384,/wiki/Lil_Spewer
Blanket,Unlocked a new item.,Sleep in 10 beds,385,/wiki/Blanket
Marbles,Unlocked a new item.,Use 5 Gulp! pills in one run ( Placebo uses count),386,/wiki/Marbles
Mystery Egg,Unlocked a new item.,Spawn three charmed enemies in the same room,387,/wiki/Mystery_Egg
Rotten Penny,Unlocked a new item.,Have 20 Blue Flies at the same time,388,/wiki/Rotten_Penny
Baby-Bender,Unlocked a new item.,Use I - The Magician or Telepathy for Dummies while already having homing tears,389,/wiki/Baby-Bender
The Forgotten,Unlocked a new character.,It's complicated,390,/wiki/The_Forgotten
Bone Heart,Unlocked a new item.,It's complicated,391,/wiki/Hearts_(Pickup)
Marrow,Unlocked a new item.,Defeat Mom's Heart or It Lives! on Hard mode as The Forgotten,392,/wiki/Marrow
Slipped Rib,Unlocked a new item.,Defeat Isaac as The Forgotten,393,/wiki/Slipped_Rib
Pointy Rib,Unlocked a new item.,Defeat Satan as The Forgotten,394,/wiki/Pointy_Rib
Jaw Bone,Unlocked a new item.,Defeat ??? as The Forgotten,395,/wiki/Jaw_Bone
Brittle Bones,Unlocked a new item.,Defeat The Lamb as The Forgotten,396,/wiki/Brittle_Bones
Divorce Papers,Unlocked a new item.,Complete the Boss Rush as The Forgotten,397,/wiki/Divorce_Papers
Hallowed Ground,Unlocked a new item.,Defeat Hush as The Forgotten,398,/wiki/Hallowed_Ground
Finger Bone,Unlocked a new item.,Defeat Ultra Greed as The Forgotten,399,/wiki/Finger_Bone
Dad's Ring,Unlocked a new item.,Defeat Ultra Greedier as The Forgotten,400,/wiki/Dad%27s_Ring
Book of the Dead,Unlocked a new item.,Defeat Delirium as The Forgotten,401,/wiki/Book_of_the_Dead
Bone Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as The Forgotten,402,/wiki/Babies
Bound Baby,Unlocked a new co-player baby.,Defeat Mega Satan as The Forgotten,403,/wiki/Babies
Bethany,Beat Hard mode as Lazarus without losing a life,"Defeat Mom's Heart/It Lives! on hard mode as Lazarus, without dying at all",404,/wiki/Bethany
Jacob and Esau,You are just like your father...,Defeat Mother,405,/wiki/Jacob_and_Esau
The Planetarium,Kids shouldn't believe in fortunes...,Collect any 3 items with the 'stars' item tag in a single run,406,/wiki/Planetarium
A Secret Exit,Complete ??? 3 times.,Defeat Hush 3 times,407,/wiki/Downpour
Forgotten Lullaby,Get that song out of her head.,Blow up The Siren's skull after defeating her,408,/wiki/Forgotten_Lullaby
Fruity Plum,Defeat Baby Plum 10 times.,Defeat Baby Plum 10 times,409,/wiki/Fruity_Plum
Plum Flute,Make a new friend!,Allow Baby Plum to escape instead of defeating her,410,/wiki/Plum_Flute
Rotten Heart,Enter the Corpse...,Enter Corpse for the first time,411,/wiki/Rotten_Heart
Dross,Defeat all bosses in Downpour.,Defeat all bosses in Downpour,412,/wiki/Dross
Ashpit,Defeat all bosses in the Mines.,Defeat all bosses in Mines,413,/wiki/Ashpit
Gehenna,Defeat all bosses in the Mausoleum.,Defeat all bosses in Mausoleum,414,/wiki/Gehenna
Red Key,The other side is calling...,Open Mom's Chest in Home,415,/wiki/Red_Key
Wisp Baby,Beat the game in Hard mode with Bethany.,Defeat Mom's Heart or It Lives! on Hard mode as Bethany,416,/wiki/Co-op#Repentance_babies
Book of Virtues,Complete the Cathedral with Bethany.,Defeat Isaac as Bethany,417,/wiki/Book_of_Virtues
Urn of Souls,Complete Sheol with Bethany.,Defeat Satan as Bethany,418,/wiki/Urn_of_Souls
Blessed Penny,Complete the Chest with Bethany.,Defeat ??? as Bethany,419,/wiki/Blessed_Penny
Alabaster Box,Complete the Dark Room with Bethany.,Defeat The Lamb as Bethany,420,/wiki/Alabaster_Box
Beth's Faith,Complete Boss Rush with Bethany.,Complete the Boss Rush as Bethany,421,/wiki/Beth%27s_Faith
Soul Locket,Beat Greed mode with Bethany.,Defeat Ultra Greed as Bethany,422,/wiki/Soul_Locket
Divine Intervention,Complete ??? with Bethany.,Defeat Hush as Bethany,423,/wiki/Divine_Intervention
Vade Retro,Beat Greedier mode with Bethany.,Defeat Ultra Greedier as Bethany,424,/wiki/Vade_Retro
Star of Bethlehem,Beat the Void with Bethany.,Defeat Delirium as Bethany,425,/wiki/Star_of_Bethlehem
Hope Baby,Beat everything in Hard mode with Bethany.,Earn all Hard mode Completion Marks as Bethany,426,/wiki/Co-op#Repentance_babies
Glowing Baby,Defeat Mega Satan with Bethany.,Defeat Mega Satan as Bethany,427,/wiki/Co-op#Repentance_babies
Double Baby,Beat the game in Hard mode with Jacob and Esau.,Defeat Mom's Heart or It Lives! on Hard mode as Jacob and Esau,428,/wiki/Co-op#Repentance_babies
The Stairway,Complete the Cathedral with Jacob and Esau.,Defeat Isaac as Jacob and Esau,429,/wiki/The_Stairway
Red Stew,Complete Sheol with Jacob and Esau.,Defeat Satan as Jacob and Esau,430,/wiki/Red_Stew
Birthright,Complete the Chest with Jacob and Esau.,Defeat ??? as Jacob and Esau,431,/wiki/Birthright
Damocles,Complete the Dark Room with Jacob and Esau.,Defeat The Lamb as Jacob and Esau,432,/wiki/Damocles
Rock Bottom,Complete Boss Rush with Jacob and Esau.,Complete Boss Rush as Jacob and Esau,433,/wiki/Rock_Bottom
Inner Child,Beat Greed mode with Jacob and Esau.,Defeat Ultra Greed as Jacob and Esau,434,/wiki/Inner_Child
Vanishing Twin,Complete ??? with Jacob and Esau.,Defeat Hush as Jacob and Esau,435,/wiki/Vanishing_Twin
Genesis,Beat Greedier mode with Jacob and Esau.,Defeat Ultra Greedier as Jacob and Esau,436,/wiki/Genesis
Suplex!,Complete the Void with Jacob and Esau.,Defeat Delirium as Jacob and Esau,437,/wiki/Suplex!
Solomon's Baby,Beat everything in Hard mode with Jacob and Esau.,Earn all Hard mode Completion Marks as Jacob and Esau,438,/wiki/Co-op#Repentance_babies
Illusion Baby,Defeat Mega Satan with Jacob and Esau.,Defeat Mega Satan as Jacob and Esau,439,/wiki/Co-op#Repentance_babies
Meat Cleaver,Complete the Corpse with Isaac.,Defeat Mother as Isaac,440,/wiki/Meat_Cleaver
Options?,Complete the final chapter with Isaac.,Defeat The Beast as Isaac,441,/wiki/Options%3F
Yuck Heart,Complete the Corpse with Magdalene.,Defeat Mother as Magdalene,442,/wiki/Yuck_Heart
Candy Heart,Complete the final chapter with Magdalene.,Defeat The Beast as Magdalene,443,/wiki/Candy_Heart
Guppy's Eye,Complete the Corpse with Cain.,Defeat Mother as Cain,444,/wiki/Guppy%27s_Eye
A Pound of Flesh,Complete the final chapter with Cain.,Defeat The Beast as Cain,445,/wiki/A_Pound_of_Flesh
Akeldama,Complete the Corpse with Judas.,Defeat Mother as Judas,446,/wiki/Akeldama
Redemption,Complete the final chapter with Judas.,Defeat The Beast as Judas,447,/wiki/Redemption
Eternal D6,Complete the Corpse with ???.,Defeat Mother as ???,448,/wiki/Eternal_D6
Montezuma's Revenge,Complete the final chapter with ???.,Defeat The Beast as ???,449,/wiki/Montezuma%27s_Revenge
Bird Cage,Complete the Corpse with Eve.,Defeat Mother as Eve,450,/wiki/Bird_Cage
Cracked Orb,Complete the final chapter with Eve.,Defeat The Beast as Eve,451,/wiki/Cracked_Orb
Bloody Gust,Complete the Corpse with Samson.,Defeat Mother as Samson,452,/wiki/Bloody_Gust
Empty Heart,Complete the final chapter with Samson.,Defeat The Beast as Samson,453,/wiki/Empty_Heart
Devil's Crown,Complete the Corpse with Azazel.,Defeat Mother as Azazel,454,/wiki/Devil%27s_Crown
Lil Abaddon,Complete the final chapter with Azazel.,Defeat The Beast as Azazel,455,/wiki/Lil_Abaddon
Tinytoma,Complete the Corpse with Lazarus.,Defeat Mother as Lazarus,456,/wiki/Tinytoma
Astral Projection,Complete the final chapter with Lazarus.,Defeat The Beast as Lazarus,457,/wiki/Astral_Projection
'M,Complete the Corpse with Eden.,Defeat Mother as Eden,458,/wiki/%27M
Everything Jar,Complete the final chapter with Eden.,Defeat The Beast as Eden,459,/wiki/Everything_Jar
Lost Soul,Complete the Corpse with the Lost.,Defeat Mother as The Lost,460,/wiki/Lost_Soul
Hungry Soul,Complete the final chapter with the Lost.,Defeat The Beast as The Lost,461,/wiki/Hungry_Soul
Blood Puppy,Complete the Corpse with Lilith.,Defeat Mother as Lilith,462,/wiki/Blood_Puppy
C Section,Complete the final chapter with Lilith.,Defeat The Beast as Lilith,463,/wiki/C_Section
Keeper's Sack,Complete the Corpse with Keeper.,Defeat Mother as Keeper,464,/wiki/Keeper%27s_Sack
Keeper's Box,Complete the final chapter with Keeper.,Defeat The Beast as Keeper,465,/wiki/Keeper%27s_Box
Lil Portal,Complete the Corpse with Apollyon.,Defeat Mother as Apollyon,466,/wiki/Lil_Portal
Worm Friend,Complete the final chapter with Apollyon.,Defeat The Beast as Apollyon,467,/wiki/Worm_Friend
Bone Spurs,Complete the Corpse with the Forgotten.,Defeat Mother as The Forgotten,468,/wiki/Bone_Spurs
Spirit Shackles,Complete the final chapter with the Forgotten.,Defeat The Beast as The Forgotten,469,/wiki/Spirit_Shackles
Revelation,Complete the Corpse with Bethany.,Defeat Mother as Bethany,470,/wiki/Revelation
Jar of Wisps,Complete the final chapter with Bethany.,Defeat The Beast as Bethany,471,/wiki/Jar_of_Wisps
Magic Skin,Complete the Corpse with Jacob and Esau.,Defeat Mother as Jacob and Esau,472,/wiki/Magic_Skin
Friend Finder,Complete the final chapter with Jacob and Esau.,Defeat The Beast as Jacob and Esau,473,/wiki/Friend_Finder
The Broken,???,Use Red Key (etc.) to open the hidden closet in Home as Isaac,474,/wiki/Tainted_Isaac
The Dauntless,???,Use Red Key (etc.) to open the hidden closet in Home as Magdalene,475,/wiki/Tainted_Magdalene
The Hoarder,???,Use Red Key (etc.) to open the hidden closet in Home as Cain,476,/wiki/Tainted_Cain
The Deceiver,???,Use Red Key (etc.) to open the hidden closet in Home as Judas,477,/wiki/Tainted_Judas
The Soiled,???,Use Red Key (etc.) to open the hidden closet in Home as ???,478,/wiki/Tainted_%3F%3F%3F
The Curdled,???,Use Red Key (etc.) to open the hidden closet in Home as Eve,479,/wiki/Tainted_Eve
The Savage,???,Use Red Key (etc.) to open the hidden closet in Home as Samson,480,/wiki/Tainted_Samson
The Benighted,???,Use Red Key (etc.) to open the hidden closet in Home as Azazel,481,/wiki/Tainted_Azazel
The Enigma,???,Use Red Key (etc.) to open the hidden closet in Home as Lazarus,482,/wiki/Tainted_Lazarus
The Capricious,???,Use Red Key (etc.) to open the hidden closet in Home as Eden,483,/wiki/Tainted_Eden
The Baleful,???,Use Red Key (etc.) to open the hidden closet in Home as The Lost,484,/wiki/Tainted_Lost
The Harlot,???,Use Red Key (etc.) to open the hidden closet in Home as Lilith,485,/wiki/Tainted_Lilith
The Miser,???,Use Red Key (etc.) to open the hidden closet in Home as Keeper,486,/wiki/Tainted_Keeper
The Empty,???,Use Red Key (etc.) to open the hidden closet in Home as Apollyon,487,/wiki/Tainted_Apollyon
The Fettered,???,Use Red Key (etc.) to open the hidden closet in Home as The Forgotten,488,/wiki/Tainted_Forgotten
The Zealot,???,Use Red Key (etc.) to open the hidden closet in Home as Bethany,489,/wiki/Tainted_Bethany
The Deserter,???,Use Red Key (etc.) to open the hidden closet in Home as Jacob and Esau,490,/wiki/Tainted_Jacob
Glitched Crown,???,Defeat The Beast as Tainted Isaac,491,/wiki/Glitched_Crown
Belly Jelly,???,Defeat The Beast as Tainted Magdalene,492,/wiki/Belly_Jelly
Blue Key,???,Defeat The Beast as Tainted Cain,493,/wiki/Blue_Key
Sanguine Bond,???,Defeat The Beast as Tainted Judas,494,/wiki/Sanguine_Bond
The Swarm,???,Defeat The Beast as Tainted ???,495,/wiki/The_Swarm
Heartbreak,???,Defeat The Beast as Tainted Eve,496,/wiki/Heartbreak
Larynx,???,Defeat The Beast as Tainted Samson,497,/wiki/Larynx
Azazel's Rage,???,Defeat The Beast as Tainted Azazel,498,/wiki/Azazel%27s_Rage
Salvation,???,Defeat The Beast as Tainted Lazarus,499,/wiki/Salvation
TMTRAINER,???,Defeat The Beast as Tainted Eden,500,/wiki/TMTRAINER
Sacred Orb,???,Defeat The Beast as Tainted Lost,501,/wiki/Sacred_Orb
Twisted Pair,???,Defeat The Beast as Tainted Lilith,502,/wiki/Twisted_Pair
Strawman,???,Defeat The Beast as Tainted Keeper,503,/wiki/Strawman
Echo Chamber,???,Defeat The Beast as Tainted Apollyon,504,/wiki/Echo_Chamber
Isaac's Tomb,???,Defeat The Beast as Tainted Forgotten,505,/wiki/Isaac%27s_Tomb
Vengeful Spirit,???,Defeat The Beast as Tainted Bethany,506,/wiki/Vengeful_Spirit
Esau Jr.,???,Defeat The Beast as Tainted Jacob,507,/wiki/Esau_Jr.
Bloody Mary,Unlocked a new challenge.,"Unlock Bethany, Blood Bag, and It Lives!",508,/wiki/Bloody_Mary
Baptism by Fire,Unlocked a new challenge.,"Defeat Satan as Bethany, defeat Mom's Heart 11 times, and unlock Maggy's Faith",509,/wiki/Baptism_by_Fire
Isaac's Awakening,Unlocked a new challenge.,Defeat Mother,510,/wiki/Isaac%27s_Awakening
Seeing Double,Unlocked a new challenge.,Defeat Mother,511,/wiki/Seeing_Double
Pica Run,Unlocked a new challenge.,Defeat Mom's Heart 11 times and unlock Marbles,512,/wiki/Pica_Run
Hot Potato,Unlocked a new challenge.,Unlock Tainted Forgotten,513,/wiki/Hot_Potato
Cantripped!,Unlocked a new challenge.,Unlock Tainted Cain,514,/wiki/Cantripped!
Red Redemption,Unlocked a new challenge.,Unlock Tainted Jacob,515,/wiki/Red_Redemption
DELETE THIS,TODO: remove this achievement,Unlock Tainted Eden,516,/wiki/DELETE_THIS
Dirty Mind,Complete Challenge 36.,Complete Scat Man (challenge #36),517,/wiki/Dirty_Mind
Sigil of Baphomet,Complete Challenge 37.,Complete Bloody Mary (challenge #37),518,/wiki/Sigil_of_Baphomet
Purgatory,Complete Challenge 38.,Complete Baptism by Fire (challenge #38),519,/wiki/Purgatory
Spirit Sword,Complete Challenge 39.,Complete Isaac's Awakening (challenge #39),520,/wiki/Spirit_Sword
Broken Glasses,Complete Challenge 40.,Complete Seeing Double (challenge #40),521,/wiki/Broken_Glasses
Ice Cube,Complete Challenge 41.,Complete Pica Run (challenge #41),522,/wiki/Ice_Cube
Charged Penny,They will charge you up... for a small fee.,Donate to Battery Bums until they pay out with an item 5 times,523,/wiki/Charged_Penny
The Fool,???,Defeat Ultra Greedier as Tainted Lost,524,/wiki/Reverse_tarot_cards
The Magician,???,Defeat Ultra Greedier as Tainted Judas,525,/wiki/Reverse_tarot_cards
The High Priestess,???,Defeat Ultra Greedier as Tainted Lilith,526,/wiki/Reverse_tarot_cards
The Empress,???,Defeat Ultra Greedier as Tainted Eve,527,/wiki/Reverse_tarot_cards
The Emperor,???,Defeat Ultra Greedier as Tainted ???,528,/wiki/Reverse_tarot_cards
The Hierophant,???,Defeat Ultra Greedier as Tainted Bethany,529,/wiki/Reverse_tarot_cards
The Lovers,???,Defeat Ultra Greedier as Tainted Magdalene,530,/wiki/Reverse_tarot_cards
The Chariot,Complete Challenge 42.,Complete Hot Potato (challenge #42),531,/wiki/Reverse_tarot_cards
Justice,Complete Challenge 43.,Complete Cantripped (challenge #43),532,/wiki/Reverse_tarot_cards
The Hermit,Complete Challenge 44.,Complete Red Redemption (challenge #44),533,/wiki/Reverse_tarot_cards
Wheel of Fortune,???,Defeat Ultra Greedier as Tainted Cain,534,/wiki/Reverse_tarot_cards
Strength,???,Defeat Ultra Greedier as Tainted Samson,535,/wiki/Reverse_tarot_cards
The Hanged Man,???,Defeat Ultra Greedier as Tainted Keeper,536,/wiki/Reverse_tarot_cards
Death,???,Defeat Ultra Greedier as Tainted Forgotten,537,/wiki/Reverse_tarot_cards
Temperance,INVALID_DESCRIPTION,Complete DELETE THIS (challenge #45),538,/wiki/Reverse_tarot_cards
The Devil,???,Defeat Ultra Greedier as Tainted Azazel,539,/wiki/Reverse_tarot_cards
The Tower,???,Defeat Ultra Greedier as Tainted Apollyon,540,/wiki/Reverse_tarot_cards
The Stars,???,Defeat Ultra Greedier as Tainted Isaac,541,/wiki/Reverse_tarot_cards
The Sun and the Moon,???,Defeat Ultra Greedier as Tainted Jacob,542,/wiki/Reverse_tarot_cards
Judgement,???,Defeat Ultra Greedier as Tainted Lazarus,543,/wiki/Reverse_tarot_cards
The World,???,Defeat Ultra Greedier as Tainted Eden,544,/wiki/Reverse_tarot_cards
Old Capacitor,Kill 10 Battery Bums.,Kill 10 Battery Bums,545,/wiki/Old_Capacitor
Brimstone Bombs,Kill Hornfel before he escapes!,"After breaking Hornfel's minecart, kill him before he can escape",546,/wiki/Brimstone_Bombs
